Cameroon, Eq. Guinea, C.A. Rep., R. Congo, Gabon, Nigeria, S. Tome & P.
Comoros, Eswatini, Lesotho, South Africa, Mauritius, Seychelles, Madagascar
Benin, Cote d'Ivoire, Burkina Faso, Liberia, Sierra Leone, Ghana, Togo
Angola, Botswana, D.R. Congo, Mozambique, Namibia, Zambia, Zimbabwe
Gambia, Guinea, Guinea-Bissau, Senegal, Mauritania, Morocco, Niger
Algeria, Egypt, Tunisia, Libya, Cabo Verde, Chad, Mali
Djibouti, Eritrea, Ethiopia, Somalia, Oman, Sudan, Yemen
Malawi, Uganda, Burundi, Rwanda, Tanzania, Kenya, South Sudan
China, Japan, South Korea, Mongolia, North Korea, Nepal, Bhutan
Cambodia, Thailand, Laos, Myanmar, Philippines, Vietnam, Bangladesh
Malaysia, Brunei, Indonesia, East Timor, Singapore, Maldives, Sri Lanka
India, Kazakhstan, Uzbekistan, Kyrgyzstan, Pakistan, Afghanistan, Tajikistan
Syria, Israel, Jordan, Iraq, Turkey, Lebanon, Palestine
Saudi Arabia, Bahrain, U.A. Emirates, Qatar, Kuwait, Iran, Turkmenistan
Russia, Estonia, Latvia, Lithuania, Azerbaijan, Armenia, Georgia
Cyprus, Albania, Greece, N. Macedonia, Bulgaria, Romania, Moldova
Bosnia and H., Croatia, Slovenia, Montenegro, Serbia, Kosovo, San Marino
Austria, Czechia, Hungary, Slovakia, Poland, Belarus, Ukraine
Denmark, Sweden, Finland, Norway, Iceland, Ireland, U.K.
Belgium, Luxembourg, Netherlands, Germany, Switzerland, Liechtenstein, Italy
Andorra, France, Monaco, Portugal, Spain, Malta, Vatican City
Australia, Nauru, P.N. Guinea, Micronesia, Mar. Islands, Sol. Islands, Palau
Samoa, Tonga, Tuvalu, New Zealand, Kiribati, Fiji, Vanuatu
Canada, United States, Mexico, Bahamas, Cuba, Haiti, Jamaica
Belize, Costa Rica, El Salvador, Guatemala, Nicaragua, Honduras, Panama
Argentina, Bolivia, Chile, Peru, Uruguay, Paraguay, Ecuador
A. & Barbuda, Barbados, Grenada, St. K & Nevis, Saint Lucia, Dominica, Dominican Rep.
Colombia, Guyana, Brazil, Venezuela, Suriname, St. Vincent, Tri. & Tobago
